name,n_nodes,n_defect,dspss_mean,dspss_std,theta_deg,z_center,radius
healthy_baseline,22220,0,30.779890,31.323314,,,
sample_0000,745,-,,,38.07,895.39,17.49
sample_0001,22220,77,30.814216,31.539038,10.35,1021.45,29.01
sample_0002,745,-,,,17.26,3694.14,24.64
sample_0003,745,-,,,40.6,3896.37,21.97
sample_0004,745,-,,,29.68,2593.43,13.12
sample_0005,745,-,,,34.07,3532.45,13.12
sample_0006,745,-,,,13.39,2700.13,32.9
sample_0007,745,-,,,26.39,1781.37,73.31
sample_0008,745,-,,,23.61,4189.15,60.06
sample_0009,745,-,,,42.93,2902.62,65.4
sample_0010,745,-,,,45.6,1249.73,31.03
sample_0011,745,-,,,35.07,1328.17,78.5
sample_0012,745,-,,,50.55,2126.91,71.62
sample_0013,745,-,,,6.33,3172.55,40.62
sample_0014,745,-,,,22.11,1873.88,92.73
sample_0015,745,-,,,18.14,2165.52,92.84
sample_0016,745,-,,,49.19,3287.02,101.3
sample_0017,745,-,,,53.83,3487.79,116.73
sample_0018,745,-,,,9.68,1569.13,110.24
sample_0019,745,-,,,31.93,2386.13,179.12
